ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_6,feature_7,feature_8
Realme C11 (Rich Grey  32 GB),Realme,-1541134896,Realme C11 ,https://www.flipkart.com,-1870967694,-1870967694,-1870967694,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-576362176,7499,6374,8999,14082020,https://www.flipkart.com\/realme-c11-rich-grey-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBBVKFEGTZ&lid=LSTMOBFTAYBBVKFEGTZGKVKF9&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYBBVKFEGTZ.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,42,0.11394104578857911,37,780730,,,
Realme C11 (Rich Green  32 GB),Realme,-1541134896,Realme C11 ,https://www.flipkart.com,1916777520,1916777520,1916777520,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-576362176,7499,6149,8999,14082020,https://www.flipkart.com\/realme-c11-rich-green-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBSAMB6X4F&lid=LSTMOBFTAYBSAMB6X4FGFA8AD&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYBSAMB6X4F.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,20,0.2592148732470926,37,748066,,,
Realme 5i (Aqua Blue  64 GB),Realme,-1541134896,Realme 5i ,https://www.flipkart.com,228511040,228511040,228511040,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Home,Mobiles & Accessories,Mobiles,628264420,10999,8909,10350,14082020,https://www.flipkart.com\/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFNG3GZXCV63BE.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,12,0.014367844014027464,31,921453,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 6i (Eclipse Black  64 GB),Realme,-1541134896,Realme 6i ,https://www.flipkart.com,-1507444681,-1507444681,-1507444681,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1239387349,14999,12149,15999,14082020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHQKJAPYF&lid=LSTMOBFTAYNHQKJAPYFJJT6ZI&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYNHQKJAPYF.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,43,0.8383975383793291,12,674006,,,
Realme 6i (Lunar White  64 GB),Realme,-1541134896,Realme 6i ,https://www.flipkart.com,-1521738930,-1521738930,-1521738930,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1239387349,12999,11439,14999,14082020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHTWGSWJ9&lid=LSTMOBFTAYNHTWGSWJ92T90VL&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYNHTWGSWJ9.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,16,0.17891100543358884,34,459527,,,
Realme 6i (Lunar White  64 GB),Realme,-1541134896,Realme 6i ,https://www.flipkart.com,-1521738930,-1521738930,-1521738930,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1239387349,14999,12599,15999,14082020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNJCYXTYM9&lid=LSTMOBFTAYNJCYXTYM9TBWACV&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYNJCYXTYM9.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,25,0.7892856341680559,29,793133,,,
Realme 6i (Eclipse Black  64 GB),Realme,-1541134896,Realme 6i ,https://www.flipkart.com,-1507444681,-1507444681,-1507444681,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1239387349,12999,11309,14999,14082020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNKMEGWUKJ&lid=LSTMOBFTAYNKMEGWUKJFGBGKG&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAYNKMEGWUKJ.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,31,0.328052373446056,12,408559,,,
Realme C3 (Volcano Grey  32 GB),Realme,-1541134896,Realme C3 ,https://www.flipkart.com,-1390604265,-1390604265,-1390604265,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,983867940,8999,8279,8450,14082020,https://www.flipkart.com\/realme-c3-volcano-grey-32-gb/p/itm58bf81a807d66?pid=MOBFTPFFBMNRSNW4&lid=LSTMOBFTPFFBMNRSNW4PHBGBL&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTPFFBMNRSNW4.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,28,0.9878344088583059,23,611907,,,
Realme C3 (Frozen Blue  32 GB),Realme,-1541134896,Realme C3 ,https://www.flipkart.com,-748235908,-748235908,-748235908,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,983867940,8999,7649,8450,14082020,https://www.flipkart.com\/realme-c3-frozen-blue-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5HAGKGBBW&lid=LSTMOBFZHC5HAGKGBBWJH2HLH&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFZHC5HAGKGBBW.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,30,0.5937830502097847,38,869169,,,
Realme 6 (Comet Blue  64 GB),Realme,-1541134896,Realme 6 ,https://www.flipkart.com,-713830419,-713830419,-713830419,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,-1172044411,15999,14239,17999,14082020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKWM7V5HX&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=6f7a5270-866c-4ed5-b88d-81f0bd966eb4.MOBFTAZ5CXWPRYKW.SEARCH&ssid=clo7o9zg800000001597381648321,1,1,49,0.6235088455311013,13,140916,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
