ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_6,feature_7
Realme C12 (Power Silver  32 GB),Realme,1128994175,Realme C12 ,https://www.flipkart.com,-1983754476,-1983754476,-1983754476,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1883059934,8999,8099,10999,16092020,https://www.flipkart.com\/realme-c12-power-silver-32-gb/p/itm4854d77becc77?pid=MOBFUEPQEEDFBHCE&lid=LSTMOBFUEPQEEDFBHCEUX6BAW&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUEPQEEDFBHCE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,44,0.6745189480961411,23,686355,,
Realme 7 Pro (Mirror Silver  128 GB),Realme,1128994175,Realme 7 Pro ,https://www.flipkart.com,-1597834173,-1597834173,-1597834173,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,65 W SuperDart Charge,Home,Mobiles & Accessories,Mobiles,-788941642,21999,19799,22999,16092020,https://www.flipkart.com\/realme-7-pro-mirror-silver-128-gb/p/itm72f96fb9b13c3?pid=MOBFUYUNHWMMNAPE&lid=LSTMOBFUYUNHWMMNAPEMCOMEK&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNHWMMNAPE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,19,0.8062536664202664,45,504498,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 7 Pro (Mirror Silver  128 GB),Realme,1128994175,Realme 7 Pro ,https://www.flipkart.com,-1597834173,-1597834173,-1597834173,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,65 W SuperDart Charge,Home,Mobiles & Accessories,Mobiles,-788941642,19999,18199,20999,16092020,https://www.flipkart.com\/realme-7-pro-mirror-silver-128-gb/p/itm72f96fb9b13c3?pid=MOBFUYUNBFV7PZZV&lid=LSTMOBFUYUNBFV7PZZVX4DOZD&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNBFV7PZZV.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,34,0.1039579468336087,47,578057,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 7 Pro (Mirror Blue  128 GB),Realme,1128994175,Realme 7 Pro ,https://www.flipkart.com,826892183,826892183,826892183,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,65 W SuperDart Charge,Home,Mobiles & Accessories,Mobiles,-788941642,21999,18479,22999,16092020,https://www.flipkart.com\/realme-7-pro-mirror-blue-128-gb/p/itm72f96fb9b13c3?pid=MOBFUYUNRDGSC4XF&lid=LSTMOBFUYUNRDGSC4XFMENOWZ&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNRDGSC4XF.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,32,0.24220786692145124,10,617187,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 7 Pro (Mirror Blue  128 GB),Realme,1128994175,Realme 7 Pro ,https://www.flipkart.com,826892183,826892183,826892183,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,65 W SuperDart Charge,Home,Mobiles & Accessories,Mobiles,-788941642,19999,17399,20999,16092020,https://www.flipkart.com\/realme-7-pro-mirror-blue-128-gb/p/itm72f96fb9b13c3?pid=MOBFUYUNYA4FWDRE&lid=LSTMOBFUYUNYA4FWDREG6FIOR&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNYA4FWDRE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,47,0.4235294956475735,43,913744,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 7 (Mist Blue  64 GB),Realme,1128994175,Realme 7 ,https://www.flipkart.com,573097926,573097926,573097926,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1732501935,14999,12749,17999,16092020,https://www.flipkart.com\/realme-7-mist-blue-64-gb/p/itme55d08631f19b?pid=MOBFUYUNMB7CUZH3&lid=LSTMOBFUYUNMB7CUZH3BM6FCX&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNMB7CUZH3.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,41,0.14423031856326962,15,749968,,
Realme 7 (Mist Blue  128 GB),Realme,1128994175,Realme 7 ,https://www.flipkart.com,364904173,364904173,364904173,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1732501935,16999,14959,20999,16092020,https://www.flipkart.com\/realme-7-mist-blue-128-gb/p/itme55d08631f19b?pid=MOBFUYUN2YDKVEHE&lid=LSTMOBFUYUN2YDKVEHERJDMVV&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUN2YDKVEHE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,28,0.7878872837037744,46,535756,,
Realme 7 (Mist White  64 GB),Realme,1128994175,Realme 7 ,https://www.flipkart.com,-753554219,-753554219,-753554219,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1732501935,14999,14099,17999,16092020,https://www.flipkart.com\/realme-7-mist-white-64-gb/p/itme55d08631f19b?pid=MOBFUYUNDSH7NMVT&lid=LSTMOBFUYUNDSH7NMVT70L13F&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNDSH7NMVT.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,16,0.683465716242422,49,414106,,
Realme 7 (Mist White  128 GB),Realme,1128994175,Realme 7 ,https://www.flipkart.com,327123451,327123451,327123451,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1732501935,16999,14619,20999,16092020,https://www.flipkart.com\/realme-7-mist-white-128-gb/p/itme55d08631f19b?pid=MOBFUYUNHENTTY9M&lid=LSTMOBFUYUNHENTTY9MM8XIXP&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUYUNHENTTY9M.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,24,0.6833154423332269,25,380763,,
Realme 6i (Eclipse Black  64 GB),Realme,1128994175,Realme 6i ,https://www.flipkart.com,-365036101,-365036101,-365036101,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-441561334,12999,12219,14999,16092020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNKMEGWUKJ&lid=LSTMOBFTAYNKMEGWUKJSLPGZG&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTAYNKMEGWUKJ.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,19,0.7661943876371521,17,527606,,
