ItemName,Brand,ProductName,CompanyURL,ItemNumber,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,Cat_0,Cat_1,Cat_2,ID,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue
Realme 6 (Comet Blue  64 GB),Realme,Realme 6 ,https://www.flipkart.com,1777437769,1777437769,1777437769,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1402932380,15999,13919,17999,28072020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKWM7V5HX&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFTAZ5CXWPRYKW.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,39,0.3280553267459697,48,232831
Realme Narzo 10A (So White  32 GB),Realme,Realme Narzo 10A ,https://www.flipkart.com,-368602061,-368602061,-368602061,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-709394133,8999,7559,9999,28072020,https://www.flipkart.com\/realme-narzo-10a-so-white-32-gb/p/itmbeb412dade152?pid=MOBFQ36ASQHV3UGW&lid=LSTMOBFQ36ASQHV3UGWL3NPOI&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFQ36ASQHV3UGW.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,49,0.3277564413575422,20,350152
Realme Narzo 10A (So Blue  32 GB),Realme,Realme Narzo 10A ,https://www.flipkart.com,-1510330357,-1510330357,-1510330357,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-709394133,8999,7919,9999,28072020,https://www.flipkart.com\/realme-narzo-10a-so-blue-32-gb/p/itmbeb412dade152?pid=MOBFQ36AYV4ZG4E4&lid=LSTMOBFQ36AYV4ZG4E4LAVPVB&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFQ36AYV4ZG4E4.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,36,0.8034634909738125,21,410594
Realme Narzo 10A (So Blue  64 GB),Realme,Realme Narzo 10A ,https://www.flipkart.com,749570370,749570370,749570370,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-709394133,9999,8099,10999,28072020,https://www.flipkart.com\/realme-narzo-10a-so-blue-64-gb/p/itmbeb412dade152?pid=MOBFSZTTDGNMFRYD&lid=LSTMOBFSZTTDGNMFRYD8KVAE0&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFSZTTDGNMFRYD.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,28,0.5240492935797492,45,425637
Realme Narzo 10A (So White  64 GB),Realme,Realme Narzo 10A ,https://www.flipkart.com,-858266769,-858266769,-858266769,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-709394133,9999,9399,10999,28072020,https://www.flipkart.com\/realme-narzo-10a-so-white-64-gb/p/itmbeb412dade152?pid=MOBFSZTTZ8GXBHRB&lid=LSTMOBFSZTTZ8GXBHRBLKRVHG&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFSZTTZ8GXBHRB.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,26,0.6101133399813524,40,536122
Realme 6 (Comet White  64 GB),Realme,Realme 6 ,https://www.flipkart.com,1068531140,1068531140,1068531140,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1402932380,15999,13439,17999,28072020,https://www.flipkart.com\/realme-6-comet-white-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5DSJYBFWU&lid=LSTMOBFTAZ5DSJYBFWU6DFPDA&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFTAZ5DSJYBFWU.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,44,0.5302415130657852,11,475531
Realme Narzo 10 (That Green  128 GB),Realme,Realme Narzo 10 ,https://www.flipkart.com,1074526166,1074526166,1074526166,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,884203026,11999,11039,12999,28072020,https://www.flipkart.com\/realme-narzo-10-that-green-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36AGTW8HNMW&lid=LSTMOBFQ36AGTW8HNMWFLXHAY&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFQ36AGTW8HNMW.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,18,0.30126676956851683,27,564282
Realme Narzo 10 (That Blue  128 GB),Realme,Realme Narzo 10 ,https://www.flipkart.com,167959648,167959648,167959648,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,884203026,11999,10319,12999,28072020,https://www.flipkart.com\/realme-narzo-10-that-blue-128-gb/p/itmfaa990ac54b7a?pid=MOBFST9QDGZTNRY8&lid=LSTMOBFST9QDGZTNRY8ESA6YM&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFST9QDGZTNRY8.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,13,0.07260647911417617,39,473489
Realme Narzo 10 (That White  128 GB),Realme,Realme Narzo 10 ,https://www.flipkart.com,-2032889735,-2032889735,-2032889735,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,884203026,11999,10559,12999,28072020,https://www.flipkart.com\/realme-narzo-10-that-white-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36APESHAPGA&lid=LSTMOBFQ36APESHAPGAHAKOMN&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFQ36APESHAPGA.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,15,0.17546112771867373,25,138434
Realme C11 (Rich Grey  32 GB),Realme,Realme C11 ,https://www.flipkart.com,-775267562,-775267562,-775267562,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-1632937761,7499,6374,8999,28072020,https://www.flipkart.com\/realme-c11-rich-grey-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBBVKFEGTZ&lid=LSTMOBFTAYBBVKFEGTZGKVKF9&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFTAYBBVKFEGTZ.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,45,0.30802825833455716,18,207124
