ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_8
Realme 5i (Aqua Blue  64 GB),Realme,297526941,Realme 5i ,https://www.flipkart.com,-1555126383,-1555126383,-1555126383,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1394388539,10999,9349,10800,29072020,https://www.flipkart.com\/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFNG3GZXCV63BE.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,44,0.9459058969261924,20,475426,
Realme 5i (Forest Green  64 GB),Realme,297526941,Realme 5i ,https://www.flipkart.com,-413357919,-413357919,-413357919,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1394388539,10999,9349,10800,29072020,https://www.flipkart.com\/realme-5i-forest-green-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GNW3BU2XE&lid=LSTMOBFNG3GNW3BU2XERAL9TG&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFNG3GNW3BU2XE.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,17,0.5351343908988057,43,865965,
Realme 5i (Aqua Blue  128 GB),Realme,297526941,Realme 5i ,https://www.flipkart.com,-1190302544,-1190302544,-1190302544,4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1394388539,11999,9959,11900,29072020,https://www.flipkart.com\/realme-5i-aqua-blue-128-gb/p/itmdac0da867a9fa?pid=MOBFP6W584RNB3HH&lid=LSTMOBFP6W584RNB3HHZNLRJ5&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFP6W584RNB3HH.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,29,0.4088237745560843,17,738632,
Realme C11 (Rich Grey  32 GB),Realme,297526941,Realme C11 ,https://www.flipkart.com,970444346,970444346,970444346,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,345949548,7499,6074,8999,29072020,https://www.flipkart.com\/realme-c11-rich-grey-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBBVKFEGTZ&lid=LSTMOBFTAYBBVKFEGTZGKVKF9&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFTAYBBVKFEGTZ.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,18,0.6866514615779394,17,587340,
Realme 6 (Comet Blue  64 GB),Realme,297526941,Realme 6 ,https://www.flipkart.com,-1605289639,-1605289639,-1605289639,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Home,Mobiles & Accessories,Mobiles,-316209145,15999,13279,17999,29072020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKWM7V5HX&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFTAZ5CXWPRYKW.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,35,0.9239667935434445,17,213535,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme C11 (Rich Green  32 GB),Realme,297526941,Realme C11 ,https://www.flipkart.com,3812842,3812842,3812842,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,345949548,7499,6599,8999,29072020,https://www.flipkart.com\/realme-c11-rich-green-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBSAMB6X4F&lid=LSTMOBFTAYBSAMB6X4FGFA8AD&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFTAYBSAMB6X4F.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,26,0.9834898647111187,41,375458,
Realme Narzo 10A (So Blue  32 GB),Realme,297526941,Realme Narzo 10A ,https://www.flipkart.com,796229246,796229246,796229246,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1258118978,8999,7289,9999,29072020,https://www.flipkart.com\/realme-narzo-10a-so-blue-32-gb/p/itmbeb412dade152?pid=MOBFQ36AYV4ZG4E4&lid=LSTMOBFQ36AYV4ZG4E4LAVPVB&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFQ36AYV4ZG4E4.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,46,0.24809798474377598,33,909550,
Realme Narzo 10A (So White  32 GB),Realme,297526941,Realme Narzo 10A ,https://www.flipkart.com,-1387340540,-1387340540,-1387340540,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1258118978,8999,7289,9999,29072020,https://www.flipkart.com\/realme-narzo-10a-so-white-32-gb/p/itmbeb412dade152?pid=MOBFQ36ASQHV3UGW&lid=LSTMOBFQ36ASQHV3UGWL3NPOI&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFQ36ASQHV3UGW.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,10,0.5566987836162292,21,116103,
Realme Narzo 10A (So Blue  64 GB),Realme,297526941,Realme Narzo 10A ,https://www.flipkart.com,-2006441094,-2006441094,-2006441094,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1258118978,9999,8599,10999,29072020,https://www.flipkart.com\/realme-narzo-10a-so-blue-64-gb/p/itmbeb412dade152?pid=MOBFSZTTDGNMFRYD&lid=LSTMOBFSZTTDGNMFRYD8KVAE0&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFSZTTDGNMFRYD.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,16,0.2675193564068019,45,526198,
Realme Narzo 10A (So White  64 GB),Realme,297526941,Realme Narzo 10A ,https://www.flipkart.com,-272920073,-272920073,-272920073,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1258118978,9999,8999,10999,29072020,https://www.flipkart.com\/realme-narzo-10a-so-white-64-gb/p/itmbeb412dade152?pid=MOBFSZTTZ8GXBHRB&lid=LSTMOBFSZTTZ8GXBHRBLKRVHG&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFSZTTZ8GXBHRB.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,10,0.3595066215287446,46,822620,
